ID_Temps;ID_Scenario;ID_Section;ID_Produit;Qte_Brut_Entre;MD_Brut_Entre;Qte_Production_Sortie;MD_Production_Sortie;Ecart_Pertes;Qte_Stock_Fin;MD_Stock_Fin;Prix_Achat_Brut;Prix_Vente_Production;Prix_Stock_Fin
2;1;1;1;240000.0;382208282.317;271855.68;437574818.537;0.0;4599.323;7403001.207;1592.535;1609.585;1609.585
2;1;1;3;728000.0;1252359180.218;723171.84;1244831624.283;0.0;14545.118;25037234.394;1720.274;1721.35;1721.35
2;1;1;2;300000.0;467100000.0;316787.52;495523482.219;0.0;13298.669;20801964.584;1557.0;1564.214;1564.214
2;1;2;4;0.0;0.0;0.0;0.0;0.0;3267.0;5522873.626;0.0;0.0;1690.503
2;1;2;5;0.0;0.0;0.0;0.0;0.0;20596.201;41119240.2;0.0;0.0;1996.448
2;1;3;8;36667.934;0.0;36300.0;8732436.9;0.0;2102.908;505881.958;0.0;240.563;240.563
2;1;3;9;96500.434;0.0;84580.0;169798049.631;0.0;13485.005;18065924.128;0.0;2007.544;1339.705
2;1;3;10;19800.0;0.0;13800.0;17661719.697;0.0;6295.0;8056559.818;0.0;1279.835;1279.835
2;1;3;11;538804.25;0.0;537000.0;930902940.239;0.0;24067.739;41722027.961;0.0;1733.525;1733.525
2;1;3;12;6000.0;0.0;6000.0;8040141.757;0.0;0.0;0.0;0.0;1340.024;0.0
2;1;3;14;13500.0;0.0;14300.0;26074670.432;0.0;942.0;1717646.122;0.0;1823.404;1823.404
2;1;3;12;382686.961;0.0;376000.0;503848883.438;0.0;13778.063;19718380.651;0.0;1340.024;1431.143
2;1;3;15;174401.042;0.0;174500.0;258191057.942;0.0;17084.969;28882193.092;0.0;1479.605;1690.503
1;2;1;1;190068.303;322917505.938;165848.137;285563296.828;0.0;36455.003;62769537.427;1698.955;1721.836;1721.836
1;2;1;3;555022.272;988067538.683;572218.065;1031120472.797;0.0;9716.958;17509678.46;1780.23;1801.971;1801.971
1;2;1;2;182820.269;299120949.692;152734.08;249895502.888;0.0;30086.189;49225446.804;1636.148;1636.148;1636.148
1;2;2;4;0.0;0.0;53.626;0.0;0.0;3267.0;0.0;0.0;0.0;0.0
1;2;2;5;0.0;0.0;-2247.81;0.0;0.0;20596.201;0.0;0.0;0.0;0.0
1;2;3;8;16256.752;0.0;14932.481;3592202.427;0.0;1734.975;417370.754;0.0;240.563;240.563
1;2;3;9;0.0;0.0;0.0;0.0;0.0;1565.071;2096655.191;0.0;0.0;1339.655
1;2;3;10;11644.845;0.0;15198.59;20591079.054;0.0;295.0;377551.254;0.0;1354.802;1279.835
1;2;3;11;369741.887;0.0;350733.242;609973905.365;0.0;22263.489;38594314.735;0.0;1739.139;1733.525
1;2;3;12;4692.1;0.0;4692.1;6884548.482;0.0;0.0;0.0;0.0;1467.264;0.0
1;2;3;14;8493.229;0.0;8774.672;16006752.313;0.0;1742.0;3176368.944;0.0;1824.2;1823.404
1;2;3;12;240859.701;0.0;245847.6;343547824.807;0.0;7091.102;10148381.74;0.0;1397.402;1431.143
1;2;3;15;207738.444;0.0;200248.26;317490375.551;0.0;17183.927;29049481.708;0.0;1585.484;1690.503
1;3;1;1;130068.303;222118401.618;102008.137;178595635.705;663.607;39631.396;68938094.229;1707.706;1750.798;1739.482
1;3;1;3;435022.272;773532725.729;388144.785;700862626.979;3.882;73786.356;133232711.324;1778.145;1805.673;1805.655
1;3;1;2;60820.269;99040965.64;60820.0;99041517.675;0.269;0.0;0.0;1628.42;1628.437;0.0
1;3;2;4;0.0;0.0;53.626;0.0;0.0;3267.0;0.0;0.0;0.0;0.0
1;3;2;5;0.0;0.0;-2247.81;0.0;0.0;20596.201;0.0;0.0;0.0;0.0
1;3;3;9;0.0;0.0;0.0;0.0;0.0;1565.071;2096655.191;0.0;0.0;1339.655
1;3;3;10;6644.845;12148406.634;8198.59;11632235.73;0.0;2295.0;2937220.776;1828.245;1418.809;1279.835
1;3;3;11;225084.517;558662927.726;200733.242;349945151.108;0.0;27606.119;47855898.223;2482.014;1743.334;1733.525
1;3;3;12;3192.1;7130105.758;3192.1;4756219.813;0.0;0.0;0.0;2233.672;1489.997;0.0
1;3;3;14;6093.229;15871239.844;6374.672;11630583.849;0.0;1742.0;3176368.944;2604.734;1824.499;1823.404
1;3;3;12;147765.708;302094000.277;150847.708;208753828.301;0.0;8997.001;12875996.424;2044.412;1383.871;1431.143
1;3;3;15;130276.235;307516289.348;112248.707;179623093.987;0.0;27721.271;46862894.55;2360.494;1600.224;1690.503
1;1;1;1;360000.0;734126158.903;384384.0;785372478.573;0.0;11537.642;23573682.813;2039.239;2043.198;2043.198
1;1;1;3;1220000.0;2648042150.672;1203671.04;2616403113.713;0.0;87283.57;189727090.488;2170.526;2173.686;2173.686
1;1;2;4;0.0;0.0;0.0;0.0;0.0;3320.0;0.0;0.0;0.0;0.0
1;1;2;5;0.0;0.0;0.0;0.0;0.0;21543.71;0.0;0.0;0.0;0.0
1;1;3;8;37585.702;0.0;36700.0;8828662.1;0.0;1511.659;363649.274;0.0;240.563;240.563
1;1;3;9;114199.142;0.0;107480.0;159396494.32;0.0;6719.142;9001332.712;0.0;1483.034;1339.655
1;1;3;10;13300.0;0.0;15500.0;18575258.755;0.0;13025.108;15609338.801;0.0;1198.404;1198.404
1;1;3;11;672827.404;0.0;670000.0;1165495150.0;0.0;17430.028;30320318.3;0.0;1739.545;1739.545
1;1;3;12;6000.0;0.0;6000.0;9507115.53;0.0;0.0;0.0;0.0;1584.519;0.0
1;1;3;14;12800.0;0.0;12600.0;22970395.748;0.0;2247.0;4096387.242;0.0;1823.047;1823.047
1;1;3;12;464676.319;0.0;485000.0;768491838.675;0.0;4410.167;7671750.42;0.0;1584.519;1739.56
1;1;3;15;214759.821;0.0;220000.0;410110866.0;0.0;11429.171;24654779.943;0.0;1864.14;2157.18
