TempsKey,ScenarioKey,ProduitKey,stock_initial_qte,stock_initial_prix,stock_initial_montant_brut,stock_initial_prix_net,stock_initial_montant_net,reception_qte,reception_pu,reception_montant,vente_qte,vente_pu,vente_montant,pertes_qte,stock_final_qte,stock_final_prix,stock_final_montant_brut,stock_final_prix_net,stock_final_montant_net
1.0,3,4,3992.4684,2298.18,7646175.373199999,0.0,0.0,0.0,0.0,0.0,7.7172,0.0,0.0,0.0,3984.7512,2380.3992,7904417.260799999,0.0,0.0
1.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1878.0852,1878.0852,1607.586,2515986.2292,1607.586,2515986.2292
1.0,3,7,0.0,0.0,0.0,0.0,0.0,7445.279999999999,2728.6476,16929617.5752,7445.279999999999,2133.0396,13234232.859599998,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3,8,19253.9448,2904.6036,46604225.7456,2144.9076,34414948.0584,370100.0688,2755.2756,849773096.7408,374535.7884,2153.856,672246750.7452,323.424,14494.8012,2755.2756,33280977.6072,1980.2496,23919435.4488
1.0,3,9,0.0,1374.8076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3,10,657.408,507.0192,277765.2492,288.6756,158148.04080000002,22258.716,481.1664,8925114.7224,22423.2792,376.1376,7028529.102,0.0,492.8448,481.1664,197616.8064,288.6756,118560.2232
1.0,3,16,29180.766,2824.6668,68688281.4144,2090.9388,50843078.4588,557477.7707999999,2679.8292,1244954103.0588,582752.724,2094.8772,1017297297.3648,0.0,3905.8128,2679.8292,8722436.3292,2085.24,6787129.612799999
1.0,3,19,40822.7184,2583.4452,87886026.32399999,2189.196,74474109.8592,322962.69359999994,2481.2868,667802478.7716,352419.3156,2469.2976,725190111.1151999,-3315.708,14681.8044,2492.7504,30498393.9792,2133.3792,26101546.7712
1.0,3,21,116157.762,2702.7768,261623802.8232,2189.196,211910089.95,905128.9464,2700.0924,2036609894.9568,988981.5168,2700.4248,2225558562.69,9.8904,32295.3012,2700.3984,72675135.0888,2133.3792,57415103.1984
1.0,3,22,19738.3416,2015.082,33145313.3964,1541.736,25359426.5208,16441.5288,2737.9572,37513506.924,30791.7996,2140.3176,54920206.7952,769.5767999999999,4618.494,2737.9572,10537700.5236,1513.4856,5825018.0292
1.0,3,23,40876.56479999999,240.0,8175312.959999999,0.0,0.0,0.0,0.0,0.0,18986.8356,0.0,0.0,128.34,22018.0692,240.0,4403613.84,0.0,0.0
1.0,3,24,18557.226,3151.1448,48730427.5884,2298.18,35539869.1284,331273.4244,3159.966,872343908.7768,336549.0504,2470.2108,692789232.84,1649.1084,11632.4916,3159.966,30631896.324,2380.3992,23074983.298800003
1.0,3,25,2121.5184,2950.1724,5215733.688,2191.02,3873596.2812,11958.1716,2797.7628,27880111.3152,10529.6064,2187.0696,21078149.5212,86.42399999999999,2428.1316,2797.7628,5661114.555600001,2187.0696,4425410.552399999
2.0,1,4,3984.7512,2380.3992,7904417.260799999,0.0,0.0,0.0,0.0,0.0,64.35119999999999,0.0,0.0,0.0,3920.4,2028.6036,6627448.3512,0.0,0.0
2.0,1,5,1878.0852,1607.586,2515986.2292,1607.586,2515986.2292,0.0,0.0,0.0,0.0,,0.0,0.0,1878.0852,0.0,0.0,1607.586,2515986.2292
2.0,1,7,0.0,0.0,0.0,0.0,0.0,5630.52,0.0,0.0,5630.52,1760.7168,8261458.1784,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,8,14494.8012,2755.2756,33280977.6072,1980.2496,23919435.4488,289031.6412,0.0,0.0,295017.12,1676.8824,412257389.7684,0.0,8509.3224,0.0,0.0,1717.3716,12178058.088
2.0,1,10,492.8448,481.1664,197616.8064,288.6756,118560.2232,19508.1024,0.0,0.0,17918.977199999998,288.6756,4310642.9124,0.0,2081.97,0.0,0.0,288.6756,500844.9048
2.0,1,16,3905.8128,2679.8292,8722436.3292,2085.24,6787129.612799999,443690.2644,0.0,0.0,420879.8904,2086.9668,731968686.438,0.0,26716.1868,0.0,0.0,2080.23,46313177.682
2.0,1,19,14681.8044,2492.7504,30498393.9792,2133.3792,30498393.9792,228081.9636,2038.746,387501007.1256,199017.7644,2066.2032,342675956.1936,0.0,43746.0036,2066.2032,75323444.91239999,2066.2032,75323444.91239999
2.0,1,20,0.0,0.0,0.0,0.0,0.0,219384.3228,1963.3776,358945139.63039994,183280.896,1963.3776,299874603.4656,0.0,36103.4268,1963.3776,59070536.1648,1963.3776,59070536.1648
2.0,1,21,32295.3012,2700.3984,72675135.0888,2133.3792,72675135.0888,666026.7263999999,2136.276,1185681046.4196,686661.678,2162.3652,1237344567.3564,0.0,11660.3496,2162.3652,21011614.152,2162.3652,21011614.152
2.0,1,22,4618.494,2737.9572,10537700.5236,1513.4856,5825018.0292,13973.813999999998,0.0,0.0,18238.308,1625.7623999999998,24709294.8648,0.0,354.0,0.0,0.0,1535.802,453061.5048
2.0,1,23,22018.0692,240.0,4403613.84,0.0,0.0,0.0,0.0,0.0,-2697.372,0.0,0.0,0.0,24715.4412,240.0,49343088.24,0.0,0.0
2.0,1,24,11632.4916,3159.966,30631896.324,2380.3992,23074983.298800003,249286.1328,0.0,0.0,240297.912,1902.5808,380988450.6612,0.0,20620.7124,0.0,0.0,2028.6036,34859378.0496
2.0,1,25,2428.1316,2797.7628,5661114.555600001,2187.0696,4425410.552399999,10191.8748,0.0,0.0,10529.6064,2189.04,19208102.7756,0.0,2090.4,0.0,0.0,2188.0848,3811642.7328
2.0,2,4,3984.0,2588.6159999999995,8594205.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3984.0,2588.6159999999995,8594205.12,0.0,0.0
2.0,2,5,0.0,0.0,0.0,1607.586,0.0,137038.9704,0.0,0.0,128976.0,1779.6408,191275793.184,0.0,8062.970399999999,0.0,0.0,1607.586,10801599.254399998
2.0,2,7,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,7200.0,1901.4228,11408538.635999998,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2,8,29680.6176,0.0,0.0,2087.472,51631214.71559999,557611.5828,0.0,0.0,582000.0,1901.4228,922190206.41,0.0,5292.200400000001,0.0,0.0,2087.472,9206100.504
2.0,2,10,751.1483999999999,0.0,0.0,288.6756,180698.6052,45102.8424,0.0,0.0,44040.0,288.6756,10594394.52,0.0,1813.9908,0.0,0.0,288.6756,436379.1288
2.0,2,16,17523.1488,0.0,0.0,2087.334,30482306.0268,807392.8848,0.0,0.0,804000.0,2087.454,1398594180.0,0.0,20916.0336,0.0,0.0,2087.454,36384381.96
2.0,2,19,43105.9704,2499.4404,8978402.9796,2499.4404,8978402.9796,432000.0,2447.0868,880951390.6836,461260.8,2451.8376,942446974.2876,0.0,13845.1704,2451.8376,28288419.3756,2451.8376,28288419.3756
2.0,2,21,85145.53199999999,2673.6204,189705664.236,2673.6204,189705664.236,1464000.0,2604.6312,3177650580.8064,1444405.248,2608.4232,3139683736.4556,0.0,104740.284,2608.4232,227672508.5856,2608.4232,227672508.5856
2.0,2,22,18270.1296,0.0,0.0,1437.6528,21894992.568,15960.0,0.0,0.0,18600.0,1437.6528,22290310.506,0.0,15630.1296,0.0,0.0,1437.6528,18731206.5612
2.0,2,23,25852.452,240.0,5170490.399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25852.452,240.0,5170490.399999999,0.0,0.0
2.0,2,24,20003.22,0.0,0.0,2588.6159999999995,43150546.3272,257711.7852,0.0,0.0,264000.0,2236.968,492133039.2,0.0,13715.0052,0.0,0.0,2588.6159999999995,29585735.9316
2.0,2,25,2456.4,0.0,0.0,2187.6564,4478133.429599999,15360.0,0.0,0.0,15120.0,2187.6564,27564474.8976,0.0,2696.4,0.0,0.0,2187.6564,4915664.6904
2.0,3,4,3984.7512,2380.3992,7904417.260799999,0.0,0.0,0.0,0.0,0.0,64.35119999999999,0.0,0.0,0.0,3920.4,2028.6036,6627448.3512,0.0,0.0
2.0,3,5,1878.0852,1607.586,2515986.2292,1607.586,2515986.2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0852,0.0,0.0,1607.586,2515986.2292
2.0,3,7,0.0,0.0,0.0,0.0,0.0,3830.52,2680.4064,8556126.9096,3830.52,1787.9964,5707463.7756,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3,8,14494.8012,2755.2756,33280977.6072,1980.2496,23919435.4488,177318.84960000002,2453.2944,362512800.3324,181017.2496,1660.6452000000002,250504593.9612,0.0,10796.4012,2453.2944,22072293.168,1717.3716,15451195.7088
2.0,3,16,3905.8128,2679.8292,8722436.3292,2085.24,6787129.612799999,270101.4204,2978.4168,670395513.2712,240879.8904,2092.0008,419934181.3296,0.0,33127.3428,2978.4168,82222529.39999999,2080.23,57427077.8676
2.0,3,19,14681.8044,2492.7504,30498393.9792,2133.3792,30498393.9792,156081.9636,2049.2472,266542081.9416,122409.7644,2100.9576,214314762.846,796.3284,47557.6752,2087.3784,82725713.0748,2087.3784,82725713.0748
2.0,3,20,0.0,0.0,0.0,0.0,0.0,72984.3228,1954.104,118849158.768,72984.0,1954.1244,118849821.21,0.3228,0.0,1954.104,0.0,1954.104,0.0
2.0,3,21,32295.3012,2700.3984,72675135.0888,2133.3792,72675135.0888,522026.7264,2133.774,928239270.8748,465773.742,2166.8076,841035152.3748,4.6584,88543.6272,2166.786,159879253.58879998,2166.786,159879253.58879998
2.0,3,22,4618.494,2737.9572,10537700.5236,1513.4856,5825018.0292,7973.814,2193.894,14578087.9608,9838.308,1702.5708,13958682.876,0.0,2754.0,2193.894,5034987.5532,1535.802,3524664.9312
2.0,3,23,22018.0692,240.0,4403613.84,0.0,0.0,0.0,0.0,0.0,-2697.372,0.0,0.0,0.0,24715.4412,240.0,49343088.24,0.0,0.0
2.0,3,24,11632.4916,3159.966,30631896.324,2380.3992,23074983.298800003,156331.482,2832.5928,369019547.2176,134698.4484,1920.2688,215547712.7844,0.0,33265.5252,2832.5928,78523077.3108,2028.6036,56235473.45999999
2.0,3,25,2428.1316,2797.7628,5661114.555600001,2187.0696,4425410.552399999,7311.8748,3125.6808,19045487.8128,7649.606399999999,2189.3988,13956700.6188,0.0,2090.4,3125.6808,5444956.044,2188.0848,3811642.7328
3.0,2,4,3920.4,2028.6036,6627448.3512,2028.6036,6627448.3512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920.4,2028.6036,6627448.3512,2028.6036,6627448.3512
3.0,2,5,1878.0852,0.0,0.0,1607.586,2515986.2292,115800.52079999998,0.0,0.0,101496.0,2409.0528,203757659.5572,0.0,16182.005999999998,1607.586,0.0,1607.586,21679108.9536
3.0,2,7,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,7200.0,1608.0287999999998,9648170.1084,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2,8,8509.3224,0.0,0.0,1717.3716,12178058.088,459224.3532,0.0,0.0,451200.0,1608.0287999999998,604618660.1256,0.0,16533.6756,1717.3716,0.0,1717.3716,23662056.7812
3.0,2,10,2081.97,0.0,0.0,288.6756,500844.9048,44001.5208,0.0,0.0,43560.0,288.6756,10478924.28,0.0,2523.4896,288.6756,0.0,288.6756,607058.3496
3.0,2,16,26716.1868,0.0,0.0,2079.87,46313177.682,646565.1,0.0,0.0,644400.0,2080.23,1117083528.2868,0.0,28881.2868,2080.23,0.0,2080.23,50066433.5532
3.0,2,19,43746.0036,2066.2032,75323444.91239999,2066.2032,75323444.91239999,288000.0,1910.802,458649938.7804,326226.816,1931.502,525089782.2444,0.0,5519.1876,1931.502,8883601.4484,1931.502,8883601.4484
3.0,2,20,36103.4268,1963.3776,59070536.1648,1963.3776,59070536.1648,360000.0,1868.4,560520000.0,380145.024,1877.0568,594628178.6628,0.0,15958.4028,1877.0568,24962357.5008,1877.0568,24962357.5008
3.0,2,21,11660.3496,2162.3652,21011614.152,2162.3652,21011614.152,873600.0,2064.3288,1502831016.2615998,867806.208,2065.62,1493797949.1396,0.0,17454.1416,2065.62,30044681.2728,2065.62,30044681.2728
3.0,2,22,354.0,0.0,0.0,1535.802,453061.5048,23760.0,0.0,0.0,16560.0,1535.802,21194063.6364,0.0,7554.0,1535.802,0.0,1535.802,9667871.7816
3.0,2,23,24715.4412,240.0,49343088.24,240.0,49343088.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24715.4412,240.0,49343088.24,240.0,49343088.24
3.0,2,24,20620.7124,0.0,0.0,2028.6036,34859378.0496,209281.2504,0.0,0.0,209400.0,1775.526,309829269.5304,0.0,20501.9628,2028.6036,0.0,2028.6036,34658631.7104
3.0,2,25,2090.4,0.0,0.0,2188.0848,3811642.7328,16200.0,0.0,0.0,17160.0,2188.0848,31289604.5184,0.0,1130.4,2188.0848,0.0,2188.0848,2061175.3464
